medical_term,departments,symptoms,related_conditions
Skin Conditions,Dermatologist,"Rashes, Itching, Redness","Acne, Eczema"
Developmental Delays,Developmental-Behavioral Pediatrician,"Delayed speech, Social delays, Behavioral issues","Autism, ADHD"
Type 2 Diabetes,Diabetologist,"Excessive thirst, Frequent urination, Fatigue","Prediabetes, Metabolic Syndrome"
Dietary Deficiency,Dietician,"Weight loss, Nutritional imbalances, Fatigue","Anemia, Vitamin D Deficiency"
Trauma,Emergency Department Physician,"Injury, Bleeding, Pain","Fractures, Concussions"
Acute Illnesses,Emergency Medicine Doctor,"Fever, Shortness of breath, Nausea","Pneumonia, Stroke"
Thyroid Disorders,Endocrinologist,"Weight gain/loss, Fatigue, Cold intolerance","Hypothyroidism, Hyperthyroidism"
Sinus Infections,ENT Specialist (Otolaryngologist),"Nasal congestion, Headache, Facial pressure","Allergies, Sinusitis"
GI Problems,Gastroenterologist,"Abdominal pain, Diarrhea, Bloating","GERD, Crohn's Disease"
Internal Medicine,General Medicine Specialist,"Fatigue, Unexplained pain, Digestive issues","Hypertension, Diabetes"
General Health Issues,General Physician,"Fever, Fatigue, Pain","Hypertension, Diabetes"
Abdominal Pain,General Surgeon,"Abdominal discomfort, Nausea, Vomiting","Appendicitis, Gallstones"
Urologic Issues,Genitourinary (GU) Medical Oncologist,"Painful urination, Blood in urine, Pelvic pain","Prostate Cancer, Bladder Cancer"
Pelvic Pain,Gynecologist,"Abdominal cramps, Irregular periods, Pain during sex","Endometriosis, Fibroids"
Gynecologic Cancer,Gynecologic Oncologist,"Abnormal bleeding, Pelvic pain, Weight loss","Ovarian Cancer, Cervical Cancer"
Blood Disorders,Haematologist,"Fatigue, Unexplained bruising, Pale skin","Anemia, Leukemia"
Blood Cancer,Hemato-Oncologist,"Fatigue, Unexplained weight loss, Bruising","Leukemia, Lymphoma"
Liver Disease,Hepatologist,"Jaundice, Abdominal pain, Dark urine","Hepatitis, Cirrhosis"
Immune System Disorders,Immunologist,"Fatigue, Joint pain, Skin rashes","Lupus, Rheumatoid Arthritis"
Infectious Diseases,Infectious Disease Specialist,"Fever, Chills, Rash","HIV, Tuberculosis"
Holistic Medicine,Integrative Medicine Specialist,"Fatigue, Chronic pain, Digestive issues","Chronic Fatigue Syndrome, Fibromyalgia"
Chronic Illness,Internal Medicine Specialist,"Fatigue, Chronic pain, Difficulty concentrating","Diabetes, Hypertension"
Brain Surgery,Neuro Surgeon,"Severe headaches, Numbness, Seizures","Brain Tumors, Stroke"
Neurological Disorders,Neurologist,"Numbness, Muscle weakness, Confusion","Multiple Sclerosis, Parkinson's Disease"
Mental Health,Neuro-Psychologist,"Anxiety, Depression, Sleep disturbances","PTSD, Bipolar Disorder"
Eye Disorders,Ophthalmologist,"Blurry vision, Eye pain, Redness","Cataracts, Glaucoma"
Cancer Treatment,Oncologist,"Fatigue, Weight loss, Pain","Lung Cancer, Breast Cancer"
Vision Care,Optometrist,"Blurry vision, Eye strain, Difficulty seeing at night","Nearsightedness, Farsightedness"
Joint Health,Orthopedic,"Joint pain, Stiffness, Swelling","Arthritis, Fractures"
Bone and Joint Issues,Orthopedician,"Bone pain, Joint stiffness, Swelling","Osteoarthritis, Rheumatoid Arthritis"
Ear Issues,Otolaryngologist,"Ear pain, Hearing loss, Tinnitus","Ear Infections, Vertigo"
Child Health,Paediatrician (Pediatrician),"Fever, Vomiting, Rash","Colds, Chickenpox"
Heart Conditions in Children,Pediatric Cardiologist,"Difficulty breathing, Cyanosis, Fatigue","Congenital Heart Disease, Arrhythmia"
Child Urology,Pediatric Urologist,"Painful urination, Bedwetting, Abdominal pain","UTI, Vesicoureteral Reflux"
High-risk Pregnancies,Perinatologist,"Preterm contractions, Bleeding","Pre-eclampsia, Placenta Previa"
Physical Therapy,Physiotherapist,"Joint stiffness, Muscle weakness, Pain","Back pain, Sports injuries"
Foot Health,Podiatrist (Foot Specialist),"Foot pain, Swelling, Corns","Plantar Fasciitis, Bunions"
Routine Health Check,Primary Care Physician,No symptoms (for preventive care),"Hypertension, Diabetes"
Mental Health,Psychiatrist,"Anxiety, Depression, Mood swings","Depression, Bipolar Disorder"
Emotional Support,Psychologist,"Stress, Anxiety, Depression","PTSD, Anxiety Disorder"
Cancer Treatment,Radiation Oncologist,"Fatigue, Skin irritation, Nausea",Cancer (Multiple Types)
X-ray and Imaging,Radiologist,No symptoms (for diagnostic purposes),"Bone fractures, Tumors"
Joint Inflammation,Rheumatologist,"Joint pain, Stiffness, Swelling","Rheumatoid Arthritis, Lupus"
Sleep Disorders,Sleep Specialist,"Snoring, Difficulty sleeping, Daytime drowsiness","Sleep Apnea, Insomnia"
Thoracic Surgery,Thoracic Surgeon,"Chest pain, Difficulty breathing, Coughing","Lung Cancer, Emphysema"
Poisoning,Toxicologist,"Vomiting, Abdominal pain, Dizziness","Lead poisoning, Drug overdose"
Hair Loss,Trichologist,"Thinning hair, Bald patches, Hair shedding","Male Pattern Baldness, Alopecia"
Urinary Cancer,Urologic Oncologist,"Blood in urine, Painful urination, Pelvic pain","Bladder Cancer, Kidney Cancer"
Urinary Health,Urologist,"Painful urination, Blood in urine, Pelvic pain","UTI, Bladder Infection"
Pelvic Floor Disorders,Urogynecologist,"Urinary incontinence, Pelvic pain, Vaginal dryness","Pelvic Organ Prolapse, Incontinence"
Vascular Surgery,Vascular Surgeon,"Leg pain, Swelling, Numbness","Atherosclerosis, Varicose veins"
Hypertension (High Blood Pressure),Cardiologists,"Often asymptomatic, headaches, dizziness, chest pain","Heart disease, stroke, kidney disease, vision problems"
"Pneumonia, Bronchitis, Tuberculosis, Acute Bronchitis, COPD, Emphysema, Asthma, ARDS, Pulmonary Fibrosis",Pulmonology,"Cough, fever, chills, shortness of breath, chest pain, persistent cough, mucus production, wheezing, fatigue, weight loss, night sweats, chest discomfort, chronic cough, rapid breathing, low blood oxygen","Bronchitis, Tuberculosis, Acute Respiratory Distress Syndrome (ARDS), Pneumonia, Emphysema, Asthma, COPD, Chronic Bronchitis, Lung Cancer, Sepsis, Trauma"
